Gridcode,Area,Lon,Lat,PA,ele_min,ele_max,ele_mean,ele_std
100001,2.573413163,86.73650983,26.42979557,0,62,71,65.77259475,1.29392209
100002,23.33106675,87.16995356,26.4220578,0,63,82,70.68530351,2.679291306
100003,48.54993064,87.2752738,26.40888838,0,59,78,67.20507302,2.573991376
100004,52.59267677,87.34987347,26.40255611,0,58,75,65.96704225,2.67892894
100005,3.569115761,87.44559728,26.4300692,0,60,74,66.48659794,2.415227844
100006,39.06611326,87.58651265,26.41418188,0,64,80,69.93720357,2.23450691
100007,23.73472396,87.66069029,26.4188388,0,67,79,71.8888191,1.930696391
100008,11.36502976,87.75260761,26.42351849,0,64,76,69.83497699,1.777494492
100009,2.132078912,87.93038184,26.42780214,0,71,78,74.79020979,1.151788799
100010,54.97361913,87.9982207,26.40712884,0,59,78,68.95742092,3.482656748
100011,13.94487742,88.05954452,26.41976286,0,60,76,67.87786667,1.9829986
100012,7.88858268,86.5762399,26.50978778,0,70,83,74.72149533,1.951037492
100013,60.13129631,86.64946125,26.49373062,0,65,90,74.27417562,3.80523956
100014,89.86563493,86.74280542,26.48229903,0,63,91,74.06388613,4.335128214
100015,81.75272166,86.84527288,26.48546436,0,67,85,73.97742992,2.055881196
100016,13.16701724,86.9194937,26.50695306,0,72,85,77.50742009,1.875689149
100017,16.51340976,87.0979187,26.48727925,0,72,84,77.38510445,1.930141367
100018,99.8206588,87.15969192,26.47844365,0,64,86,74.81824274,3.115561912
100019,100,87.26324446,26.47836818,0,62,90,75.703478,3.684443601
100020,100,87.36688613,26.47836818,0,62,88,74.83747027,4.385530028
100021,98.58416496,87.47048231,26.47896968,0,63,89,74.49521603,4.112306224
100022,100,87.57416949,26.47836818,0,68,93,78.45399822,4.26308161
100023,99.9210557,87.67780297,26.47840247,0,68,95,80.69975445,4.765312235
100024,84.90680615,87.77738944,26.48376187,0,67,95,80.45063513,4.715877812
100025,75.42572881,87.88448632,26.48680436,0,71,97,82.07011143,3.611729005
100026,100,87.9887362,26.47836818,0,68,144,93.55856124,16.83535243
100027,58.56539917,88.07106608,26.47880736,0,64,125,83.71656535,10.69153758
100028,5.38296626,85.84971022,26.59298337,0,60,72,64.41759777,2.059905306
100029,12.17008751,85.88282654,26.59627187,0,61,71,65.21987578,1.756649121
100030,0.408636042,86.14398736,26.6076798,0,71,79,74.84313725,1.892944061
100031,8.387594325,86.2208337,26.60111515,0,68,80,72.42741208,1.736835496
100032,3.1020621,86.36633122,26.60549226,0,79,94,85.10886076,2.690027993
100033,40.67041318,86.44426293,26.58951673,0,79,100,87.59814275,2.640863989
100034,85.86573178,86.5412916,26.57130465,0,70,112,87.48649584,5.803376648
100035,100,86.64139439,26.56574022,0,75,118,92.37083829,8.400734978
100036,100,86.74503606,26.56574022,0,76,120,93.67910226,8.498086637
100037,100,86.84867774,26.56574022,0,72,113,87.40450357,7.863341582
100038,99.31564884,86.95205392,26.5660322,1,73,97,82.81506439,2.59418581
100039,68.18814601,87.05787594,26.57407424,1,77,92,83.02535519,2.260570014
100040,100,87.15960278,26.56574022,0,73,99,83.76137039,3.851073097
100041,100,87.26324446,26.56574022,0,75,106,89.37329073,5.463925858
100042,100,87.36688613,26.56574022,0,78,111,93.21254459,6.584954986
100043,100,87.47052781,26.56574022,0,78,118,94.08598585,8.580579097
100044,100,87.57416949,26.56574022,0,77,114,94.63317479,6.55786549
100045,100,87.67781117,26.56574022,0,85,117,99.25111474,6.615863921
100046,100,87.78145285,26.56574022,0,82,120,98.7696195,7.259725428
100047,100,87.88509452,26.56574022,0,83,113,95.82557967,5.671625269
100048,100,87.9887362,26.56574022,0,83,129,100.7424197,7.766878875
100049,76.62292694,88.08124617,26.56944948,0,79,126,96.77407479,7.409109158
100050,17.58871476,85.74602377,26.67151883,0,63,76,68.1876054,2.003318873
100051,90.41089243,85.815509,26.65680937,0,61,82,68.70296296,2.85681617
100052,92.76954096,85.91267316,26.65536665,0,62,81,69.79369536,2.82915564
100053,43.49554284,86.01785075,26.67770707,0,67,86,74.63281116,2.845532273
100054,77.56895039,86.12886226,26.66161029,0,64,90,77.22430536,2.916319972
100055,97.05739867,86.22651783,26.65441383,0,69,95,79.77788852,4.45922124
100056,94.23712038,86.33140634,26.65558916,0,76,107,88.58175927,5.175545349
100057,100,86.43411103,26.65317749,0,83,118,98.0319776,6.436511917
100058,100,86.53775271,26.65317749,0,85,371,116.5737218,35.3777337
100059,100,86.64139439,26.65317749,0,102,417,167.3523335,64.51699982
100060,100,86.74503606,26.65317749,0,105,432,185.9565993,64.56456678
100061,100,86.84867774,26.65317749,0,90,349,150.1968639,50.9249987
100062,100,86.95231942,26.65317749,1,81,161,93.37745244,10.23833084
100063,100,87.0559611,26.65317749,1,77,104,89.90309156,3.160557297
100064,100,87.15960278,26.65317749,0,82,113,95.92122473,5.814720663
100065,100,87.26324446,26.65317749,0,89,141,109.2133621,9.173193339
100066,100,87.36688613,26.65317749,0,99,184,127.5583383,17.60200483
100067,100,87.47052781,26.65317749,0,103,219,147.488211,27.21035488
100068,100,87.57416949,26.65317749,0,102,209,134.6291617,23.39208137
100069,100,87.67781117,26.65317749,0,104,162,125.7955559,10.99694779
100070,100,87.78145285,26.65317749,0,109,651,152.4381688,60.58986
100071,100,87.88509452,26.65317749,0,99,594,154.2646403,77.30424946
100072,100,87.9887362,26.65317749,0,108,175,132.5572979,13.72772713
100073,99.80329635,88.09227718,26.65325218,0,101,182,130.1647313,16.13358069
100074,16.49230055,88.15536703,26.66560272,0,110,169,139.3453237,12.25289555
100075,11.3284736,85.22042867,26.77296364,0,72,87,77.18240621,2.57193549
100076,37.19707607,85.29841187,26.76777246,0,67,85,76.68979834,1.764186894
100077,12.55649883,85.36817033,26.77282114,0,72,82,76.70489914,1.455766306
100078,0.284987347,85.45497439,26.78321316,0,74,82,77.34782609,1.784198655
100079,27.19539109,85.74615611,26.73797438,0,68,87,76.43807216,4.210478012
100080,100,85.81226096,26.74068036,0,69,90,78.141173,3.852205424
100081,100,85.91590264,26.74068036,0,68,98,80.48452697,4.790557002
100082,100,86.01954432,26.74068036,0,70,98,82.44731801,5.173310326
100083,100,86.123186,26.74068036,0,77,100,85.69569702,3.467176184
100084,100,86.22682767,26.74068036,0,69,122,94.20682287,9.049656901
