"Gridcode","species"
101644,"Schoenoplectus tabernaemontani"
101644,"Juncus articulatus"
101644,"Typha angustifolia"
101644,"Monochoria korsakowii"
101644,"Typha orientalis"
101644,"Vallisneria natans"
101644,"Najas indica"
101644,"Sagittaria trifolia"
101644,"Blyxa japonica"
101644,"Monochoria vaginalis"
101644,"Juncus prismatocarpus"
101644,"Lasia spinosa"
101644,"Nechamandra alternifolia"
101644,"Cyanotis axillaris"
101644,"Colocasia esculenta"
101644,"Wolffia globosa"
101644,"Juncus wallichianus"
101644,"Colocasia fallax"
101644,"Potamogeton natans"
101644,"Najas minor"
101644,"Hedychium spicatum"
101644,"Hydrilla verticillata"
101644,"Najas graminea"
101644,"Potamogeton nodosus"
101644,"Ottelia alismoides"
101644,"Alisma plantago-aquatica"
101644,"Blyxa aubertii"
101644,"Juncus bufonius"
101644,"Oryza meyeriana"
101644,"Oryza nivara"
101644,"Oryza officinalis"
101644,"Spirodela polyrhiza"
101644,"Potamogeton octandrus"
101644,"Potamogeton pusillus"
101644,"Stuckenia pectinata"
101644,"Typha domingensis"
101644,"Typha elephantina"
101644,"Paris polyphylla"
101644,"Trillium govanianum"
101644,"Dactylorhiza hatagirea"
101644,"Fritillaria cirrhosa"
101647,"Schoenoplectus tabernaemontani"
101647,"Juncus articulatus"
101647,"Typha angustifolia"
101647,"Monochoria korsakowii"
101647,"Typha orientalis"
101647,"Vallisneria natans"
101647,"Najas indica"
101647,"Sagittaria trifolia"
101647,"Blyxa japonica"
101647,"Monochoria vaginalis"
101647,"Juncus prismatocarpus"
101647,"Lasia spinosa"
101647,"Nechamandra alternifolia"
101647,"Cyanotis axillaris"
101647,"Colocasia esculenta"
101647,"Wolffia globosa"
101647,"Juncus wallichianus"
101647,"Colocasia fallax"
101647,"Potamogeton natans"
101647,"Najas minor"
101647,"Hedychium spicatum"
101647,"Hydrilla verticillata"
101647,"Najas graminea"
101647,"Potamogeton nodosus"
101647,"Ottelia alismoides"
101647,"Alisma plantago-aquatica"
101647,"Blyxa aubertii"
101647,"Juncus bufonius"
101647,"Oryza meyeriana"
101647,"Oryza nivara"
101647,"Oryza officinalis"
101647,"Spirodela polyrhiza"
101647,"Potamogeton octandrus"
101647,"Potamogeton pusillus"
101647,"Stuckenia pectinata"
101647,"Typha domingensis"
101647,"Typha elephantina"
101647,"Paris polyphylla"
101647,"Trillium govanianum"
101647,"Fritillaria cirrhosa"
101648,"Schoenoplectus tabernaemontani"
101648,"Juncus articulatus"
101648,"Typha angustifolia"
101648,"Monochoria korsakowii"
101648,"Typha orientalis"
101648,"Vallisneria natans"
101648,"Najas indica"
101648,"Sagittaria trifolia"
101648,"Blyxa japonica"
101648,"Monochoria vaginalis"
101648,"Juncus prismatocarpus"
101648,"Lasia spinosa"
101648,"Nechamandra alternifolia"
101648,"Cyanotis axillaris"
101648,"Colocasia esculenta"
101648,"Wolffia globosa"
101648,"Juncus wallichianus"
101648,"Colocasia fallax"
101648,"Potamogeton natans"
101648,"Najas minor"
101648,"Hedychium spicatum"
101648,"Hydrilla verticillata"
101648,"Najas graminea"
101648,"Potamogeton nodosus"
101648,"Ottelia alismoides"
101648,"Alisma plantago-aquatica"
101648,"Blyxa aubertii"
101648,"Juncus bufonius"
101648,"Oryza meyeriana"
101648,"Oryza nivara"
101648,"Oryza officinalis"
101648,"Spirodela polyrhiza"
101648,"Potamogeton octandrus"
101648,"Potamogeton pusillus"
101648,"Stuckenia pectinata"
101648,"Typha domingensis"
101648,"Typha elephantina"
101648,"Paris polyphylla"
101648,"Trillium govanianum"
101648,"Dactylorhiza hatagirea"
101648,"Fritillaria cirrhosa"
101649,"Schoenoplectus tabernaemontani"
101649,"Juncus articulatus"
101649,"Typha angustifolia"
101649,"Monochoria korsakowii"
101649,"Typha orientalis"
101649,"Vallisneria natans"
101649,"Najas indica"
101649,"Sagittaria trifolia"
101649,"Blyxa japonica"
101649,"Monochoria vaginalis"
101649,"Juncus prismatocarpus"
101649,"Lasia spinosa"
101649,"Nechamandra alternifolia"
101649,"Cyanotis axillaris"
101649,"Colocasia esculenta"
101649,"Wolffia globosa"
101649,"Juncus wallichianus"
101649,"Colocasia fallax"
101649,"Potamogeton natans"
101649,"Najas minor"
101649,"Hedychium spicatum"
101649,"Hydrilla verticillata"
101649,"Najas graminea"
101649,"Potamogeton nodosus"
101649,"Ottelia alismoides"
101649,"Alisma plantago-aquatica"
101649,"Blyxa aubertii"
101649,"Juncus bufonius"
101649,"Oryza meyeriana"
101649,"Oryza nivara"
101649,"Oryza officinalis"
101649,"Spirodela polyrhiza"
101649,"Potamogeton octandrus"
101649,"Potamogeton pusillus"
101649,"Stuckenia pectinata"
101649,"Typha domingensis"
101649,"Typha elephantina"
101649,"Paris polyphylla"
101649,"Trillium govanianum"
101649,"Dactylorhiza hatagirea"
101649,"Fritillaria cirrhosa"
101631,"Schoenoplectus tabernaemontani"
101631,"Juncus articulatus"
101631,"Typha angustifolia"
101631,"Monochoria korsakowii"
101631,"Typha orientalis"
101631,"Vallisneria natans"
101631,"Najas indica"
101631,"Sagittaria trifolia"
101631,"Blyxa japonica"
101631,"Monochoria vaginalis"
101631,"Juncus prismatocarpus"
101631,"Lasia spinosa"
101631,"Nechamandra alternifolia"
101631,"Cyanotis axillaris"
101631,"Colocasia esculenta"
101631,"Wolffia globosa"
101631,"Juncus wallichianus"
101631,"Colocasia fallax"
101631,"Potamogeton natans"
101631,"Najas minor"
101631,"Hedychium spicatum"
101631,"Hydrilla verticillata"
101631,"Najas graminea"
101631,"Potamogeton nodosus"
101631,"Ottelia alismoides"
101631,"Alisma plantago-aquatica"
101631,"Blyxa aubertii"
101631,"Juncus bufonius"
101631,"Oryza meyeriana"
101631,"Oryza nivara"
101631,"Oryza officinalis"
101631,"Spirodela polyrhiza"
101631,"Potamogeton octandrus"
101631,"Potamogeton pusillus"
101631,"Stuckenia pectinata"
101631,"Typha domingensis"
101631,"Typha elephantina"
101631,"Paris polyphylla"
101631,"Trillium govanianum"
101631,"Dactylorhiza hatagirea"
101631,"Fritillaria cirrhosa"
101635,"Schoenoplectus tabernaemontani"
101635,"Juncus articulatus"
101635,"Typha angustifolia"
101635,"Monochoria korsakowii"
101635,"Typha orientalis"
101635,"Vallisneria natans"
101635,"Najas indica"
101635,"Sagittaria trifolia"
101635,"Blyxa japonica"
101635,"Monochoria vaginalis"
101635,"Juncus prismatocarpus"
101635,"Lasia spinosa"
101635,"Nechamandra alternifolia"
101635,"Cyanotis axillaris"
101635,"Colocasia esculenta"
101635,"Wolffia globosa"
101635,"Juncus wallichianus"
101635,"Colocasia fallax"
101635,"Potamogeton natans"
101635,"Najas minor"
101635,"Hedychium spicatum"
101635,"Hydrilla verticillata"
101635,"Najas graminea"
101635,"Potamogeton nodosus"
101635,"Ottelia alismoides"
101635,"Alisma plantago-aquatica"
101635,"Blyxa aubertii"
101635,"Juncus bufonius"
101635,"Oryza meyeriana"
101635,"Oryza nivara"
101635,"Oryza officinalis"
101635,"Spirodela polyrhiza"
101635,"Potamogeton octandrus"
101635,"Potamogeton pusillus"
101635,"Stuckenia pectinata"
101635,"Typha domingensis"
101635,"Typha elephantina"
101635,"Paris polyphylla"
101635,"Trillium govanianum"
101635,"Dactylorhiza hatagirea"
101635,"Fritillaria cirrhosa"
101636,"Schoenoplectus tabernaemontani"
101636,"Juncus articulatus"
101636,"Typha angustifolia"
101636,"Monochoria korsakowii"
101636,"Typha orientalis"
101636,"Vallisneria natans"
101636,"Najas indica"
101636,"Sagittaria trifolia"
101636,"Blyxa japonica"
101636,"Monochoria vaginalis"
101636,"Juncus prismatocarpus"
101636,"Lasia spinosa"
101636,"Nechamandra alternifolia"
101636,"Cyanotis axillaris"
101636,"Colocasia esculenta"
101636,"Wolffia globosa"
101636,"Juncus wallichianus"
101636,"Colocasia fallax"
101636,"Potamogeton natans"
101636,"Najas minor"
101636,"Hedychium spicatum"
101636,"Hydrilla verticillata"
101636,"Najas graminea"
101636,"Potamogeton nodosus"
101636,"Ottelia alismoides"
101636,"Alisma plantago-aquatica"
101636,"Blyxa aubertii"
101636,"Juncus bufonius"
101636,"Oryza meyeriana"
101636,"Oryza nivara"
101636,"Oryza officinalis"
101636,"Spirodela polyrhiza"
101636,"Potamogeton octandrus"
101636,"Potamogeton pusillus"
101636,"Stuckenia pectinata"
101636,"Typha domingensis"
101636,"Typha elephantina"
101636,"Paris polyphylla"
101636,"Trillium govanianum"
101636,"Dactylorhiza hatagirea"
101636,"Fritillaria cirrhosa"
101637,"Schoenoplectus tabernaemontani"
101637,"Juncus articulatus"
101637,"Typha angustifolia"
101637,"Monochoria korsakowii"
101637,"Typha orientalis"
101637,"Vallisneria natans"
101637,"Najas indica"
101637,"Sagittaria trifolia"
101637,"Blyxa japonica"
101637,"Monochoria vaginalis"
101637,"Juncus prismatocarpus"
101637,"Lasia spinosa"
101637,"Nechamandra alternifolia"
101637,"Cyanotis axillaris"
101637,"Colocasia esculenta"
101637,"Wolffia globosa"
101637,"Juncus wallichianus"
