"Gridcode","species"
101644,"Lindernia procumbens"
101644,"Limnophila sessiliflora"
101644,"Bonnaya antipoda"
101644,"Oenanthe javanica"
101644,"Drosera peltata"
101644,"Vandellia micrantha"
101644,"Hemisteptia lyrata"
101644,"Nymphaea pubescens"
101644,"Limnophila rugosa"
101644,"Hydrolea zeylanica"
101644,"Aeschynomene aspera"
101644,"Caesulia axillaris"
101644,"Hygrophila polysperma"
101644,"Hydrobryum griffithii"
101644,"Eclipta angustata"
101644,"Limnophila micrantha"
101644,"Bacopa monnieri"
101644,"Medicago sativa"
101644,"Podophyllum hexandrum"
101644,"Limnophila indica"
101644,"Grangea maderaspatana"
101644,"Sesbania bispinosa"
101644,"Nardostachys jatamansi"
101644,"Centella asiatica"
101644,"Alternanthera sessilis"
101644,"Aeschynomene indica"
101644,"Nymphaea nouchali"
101644,"Trapa natans"
101644,"Arnebia benthamii"
101644,"Rheum australe"
101647,"Lindernia procumbens"
101647,"Limnophila sessiliflora"
101647,"Bonnaya antipoda"
101647,"Oenanthe javanica"
101647,"Drosera peltata"
101647,"Vandellia micrantha"
101647,"Hemisteptia lyrata"
101647,"Nymphaea pubescens"
101647,"Limnophila rugosa"
101647,"Hydrolea zeylanica"
101647,"Aeschynomene aspera"
101647,"Caesulia axillaris"
101647,"Hygrophila polysperma"
101647,"Hydrobryum griffithii"
101647,"Eclipta angustata"
101647,"Limnophila micrantha"
101647,"Bacopa monnieri"
101647,"Medicago sativa"
101647,"Pistacia khinjuk"
101647,"Podophyllum hexandrum"
101647,"Limnophila indica"
101647,"Grangea maderaspatana"
101647,"Sesbania bispinosa"
101647,"Nardostachys jatamansi"
101647,"Centella asiatica"
101647,"Alternanthera sessilis"
101647,"Aeschynomene indica"
101647,"Nymphaea nouchali"
101647,"Rheum australe"
101648,"Lindernia procumbens"
101648,"Limnophila sessiliflora"
101648,"Bonnaya antipoda"
101648,"Oenanthe javanica"
101648,"Drosera peltata"
101648,"Vandellia micrantha"
101648,"Hemisteptia lyrata"
101648,"Nymphaea pubescens"
101648,"Limnophila rugosa"
101648,"Hydrolea zeylanica"
101648,"Aeschynomene aspera"
101648,"Caesulia axillaris"
101648,"Hygrophila polysperma"
101648,"Hydrobryum griffithii"
101648,"Eclipta angustata"
101648,"Limnophila micrantha"
101648,"Bacopa monnieri"
101648,"Medicago sativa"
101648,"Pistacia khinjuk"
101648,"Podophyllum hexandrum"
101648,"Limnophila indica"
101648,"Grangea maderaspatana"
101648,"Sesbania bispinosa"
101648,"Nardostachys jatamansi"
101648,"Centella asiatica"
101648,"Alternanthera sessilis"
