"Gridcode","species"
101644,"Semnopithecus schistaceus"
101644,"Rhinolophus ferrumequinum"
101644,"Myotis nipalensis"
101644,"Barbastella leucomelas"
101644,"Cynopterus sphinx"
101644,"Ovis ammon"
101644,"Suncus etruscus"
101644,"Soriculus nigrescens"
101644,"Equus kiang"
101644,"Ochotona macrotis"
101644,"Ochotona roylii"
101644,"Lepus oiostolus"
101644,"Mustela altaica"
101644,"Vulpes ferrilata"
101644,"Panthera uncia"
101644,"Moschus leucogaster"
101644,"Pseudois nayaur"
101644,"Cuon alpinus"
101644,"Barbastella darjelingensis"
101644,"Myotis formosus"
101644,"Alticola stoliczkanus"
101644,"Urocricetus alticola"
101644,"Marmota himalayana"
101644,"Mus saxicola"
101644,"Niviventer fulvescens"
101644,"Rattus tanezumi"
101644,"Rattus pyctoris"
101644,"Lynx lynx"
101644,"Crocidura attenuata"
101644,"Ochotona curzoniae"
101644,"Ursus thibetanus"
101644,"Otocolobus manul"
101644,"Apodemus pallipes"
101644,"Vulpes vulpes"
101644,"Mus musculus"
101644,"Prionailurus bengalensis"
101644,"Catopuma temminckii"
101644,"Canis lupus"
101644,"Canis lupus ssp. chanco"
101644,"Martes foina"
101644,"Mustela sibirica"
101644,"Paguma larvata"
101644,"Paradoxurus hermaphroditus"
101647,"Macaca assamensis"
101647,"Macaca assamensis ssp. pelops"
101647,"Rhinoceros unicornis"
101647,"Rhinolophus ferrumequinum"
101647,"Myotis nipalensis"
101647,"Barbastella leucomelas"
101647,"Cynopterus sphinx"
101647,"Ovis ammon"
101647,"Phaiomys leucurus"
101647,"Equus kiang"
101647,"Ochotona macrotis"
101647,"Ochotona roylii"
101647,"Lepus oiostolus"
101647,"Mustela altaica"
101647,"Vulpes ferrilata"
101647,"Panthera uncia"
101647,"Pseudois nayaur"
101647,"Cuon alpinus"
101647,"Barbastella darjelingensis"
101647,"Alticola stoliczkanus"
101647,"Urocricetus alticola"
101647,"Marmota himalayana"
101647,"Rattus tanezumi"
101647,"Rattus pyctoris"
101647,"Lynx lynx"
101647,"Ochotona curzoniae"
101647,"Ursus thibetanus"
101647,"Otocolobus manul"
101647,"Apodemus pallipes"
101647,"Vulpes vulpes"
101647,"Mus musculus"
101647,"Prionailurus bengalensis"
101647,"Catopuma temminckii"
101647,"Canis lupus"
101647,"Canis lupus ssp. chanco"
101647,"Martes foina"
101647,"Mustela sibirica"
101647,"Paguma larvata"
101648,"Macaca assamensis"
101648,"Macaca assamensis ssp. pelops"
101648,"Rhinoceros unicornis"
101648,"Rhinolophus ferrumequinum"
101648,"Myotis nipalensis"
101648,"Barbastella leucomelas"
101648,"Cynopterus sphinx"
101648,"Ovis ammon"
101648,"Phaiomys leucurus"
101648,"Equus kiang"
101648,"Ochotona macrotis"
101648,"Ochotona roylii"
101648,"Lepus oiostolus"
101648,"Mustela altaica"
101648,"Vulpes ferrilata"
101648,"Panthera uncia"
101648,"Pseudois nayaur"
101648,"Cuon alpinus"
101648,"Barbastella darjelingensis"
101648,"Plecotus wardi"
101648,"Alticola stoliczkanus"
101648,"Urocricetus alticola"
101648,"Marmota himalayana"
101648,"Rattus tanezumi"
101648,"Rattus pyctoris"
101648,"Lynx lynx"
101648,"Crocidura attenuata"
101648,"Ochotona curzoniae"
101648,"Ursus thibetanus"
101648,"Otocolobus manul"
101648,"Apodemus pallipes"
101648,"Vulpes vulpes"
101648,"Mus musculus"
101648,"Prionailurus bengalensis"
101648,"Catopuma temminckii"
101648,"Canis lupus"
101648,"Canis lupus ssp. chanco"
101648,"Martes foina"
101648,"Mustela sibirica"
101648,"Paguma larvata"
101649,"Macaca assamensis"
101649,"Macaca assamensis ssp. pelops"
101649,"Rhinoceros unicornis"
101649,"Rhinolophus ferrumequinum"
101649,"Myotis nipalensis"
101649,"Barbastella leucomelas"
101649,"Cynopterus sphinx"
101649,"Ovis ammon"
101649,"Phaiomys leucurus"
101649,"Equus kiang"
101649,"Ochotona macrotis"
101649,"Ochotona roylii"
101649,"Lepus oiostolus"
101649,"Mustela altaica"
101649,"Vulpes ferrilata"
101649,"Panthera uncia"
101649,"Pseudois nayaur"
101649,"Cuon alpinus"
101649,"Barbastella darjelingensis"
101649,"Plecotus wardi"
101649,"Alticola stoliczkanus"
101649,"Urocricetus alticola"
101649,"Marmota himalayana"
101649,"Rattus tanezumi"
101649,"Rattus pyctoris"
101649,"Lynx lynx"
101649,"Crocidura attenuata"
101649,"Ochotona curzoniae"
101649,"Ursus thibetanus"
101649,"Otocolobus manul"
101649,"Vulpes vulpes"
101649,"Mus musculus"
101649,"Prionailurus bengalensis"
101649,"Catopuma temminckii"
101649,"Canis lupus"
101649,"Canis lupus ssp. chanco"
101649,"Martes foina"
101649,"Mustela sibirica"
101649,"Paguma larvata"
101631,"Semnopithecus schistaceus"
101631,"Rhinolophus ferrumequinum"
101631,"Myotis nipalensis"
101631,"Barbastella leucomelas"
101631,"Cynopterus sphinx"
101631,"Ovis ammon"
101631,"Hemitragus jemlahicus"
101631,"Suncus etruscus"
101631,"Soriculus nigrescens"
101631,"Equus kiang"
101631,"Ochotona macrotis"
101631,"Ochotona roylii"
101631,"Lepus oiostolus"
101631,"Mustela altaica"
101631,"Vulpes ferrilata"
101631,"Panthera uncia"
101631,"Moschus leucogaster"
101631,"Pseudois nayaur"
101631,"Cuon alpinus"
101631,"Barbastella darjelingensis"
101631,"Plecotus wardi"
101631,"Myotis formosus"
101631,"Alticola stoliczkanus"
101631,"Urocricetus alticola"
101631,"Marmota himalayana"
101631,"Mus saxicola"
101631,"Niviventer fulvescens"
101631,"Rattus tanezumi"
101631,"Rattus pyctoris"
101631,"Lynx lynx"
101631,"Crocidura attenuata"
101631,"Ochotona curzoniae"
101631,"Ursus thibetanus"
101631,"Otocolobus manul"
101631,"Apodemus pallipes"
101631,"Vulpes vulpes"
101631,"Mus musculus"
101631,"Prionailurus bengalensis"
101631,"Catopuma temminckii"
101631,"Canis lupus"
101631,"Canis lupus ssp. chanco"
101631,"Martes foina"
101631,"Mustela sibirica"
101631,"Paguma larvata"
