"Gridcode","species"
101644,"Ptyas mucosa"
101644,"Boiga trigonata"
101644,"Amphiesma stolatum"
101644,"Hemidactylus brookii"
101644,"Daboia russelii"
101644,"Fowlea sanctijohannis"
101644,"Laudakia tuberculata"
101644,"Ablepharus ladacensis"
101644,"Phrynocephalus theobaldi"
101644,"Gloydius himalayanus"
101647,"Hemidactylus brookii"
101647,"Laudakia tuberculata"
101647,"Ablepharus ladacensis"
101647,"Phrynocephalus theobaldi"
101647,"Gloydius himalayanus"
101648,"Hemidactylus brookii"
101648,"Sibynophis collaris"
101648,"Laudakia tuberculata"
101648,"Ablepharus ladacensis"
101648,"Phrynocephalus theobaldi"
101648,"Gloydius himalayanus"
101649,"Hemidactylus brookii"
101649,"Sibynophis collaris"
101649,"Laudakia tuberculata"
101649,"Ablepharus ladacensis"
101649,"Phrynocephalus theobaldi"
101649,"Gloydius himalayanus"
101631,"Ptyas mucosa"
101631,"Boiga trigonata"
101631,"Amphiesma stolatum"
101631,"Hemidactylus brookii"
101631,"Daboia russelii"
101631,"Fowlea sanctijohannis"
101631,"Ovophis monticola"
101631,"Laudakia tuberculata"
101631,"Ablepharus ladacensis"
101631,"Phrynocephalus theobaldi"
101631,"Gloydius himalayanus"
101635,"Amphiesma stolatum"
101635,"Hemidactylus brookii"
101635,"Sibynophis collaris"
101635,"Laudakia tuberculata"
101635,"Ablepharus ladacensis"
101635,"Phrynocephalus theobaldi"
101635,"Gloydius himalayanus"
101636,"Amphiesma stolatum"
101636,"Hemidactylus brookii"
101636,"Sibynophis collaris"
101636,"Laudakia tuberculata"
101636,"Ablepharus ladacensis"
101636,"Phrynocephalus theobaldi"
101636,"Gloydius himalayanus"
101637,"Hemidactylus brookii"
101637,"Sibynophis collaris"
101637,"Laudakia tuberculata"
101637,"Ablepharus ladacensis"
101637,"Phrynocephalus theobaldi"
101637,"Gloydius himalayanus"
101638,"Hemidactylus brookii"
101638,"Sibynophis collaris"
101638,"Laudakia tuberculata"
101638,"Ablepharus ladacensis"
101638,"Phrynocephalus theobaldi"
101638,"Gloydius himalayanus"
101639,"Hemidactylus brookii"
101639,"Sibynophis collaris"
101639,"Laudakia tuberculata"
101639,"Ablepharus ladacensis"
101639,"Phrynocephalus theobaldi"
101639,"Gloydius himalayanus"
101640,"Hemidactylus brookii"
101640,"Sibynophis collaris"
101640,"Laudakia tuberculata"
101640,"Ablepharus ladacensis"
101640,"Phrynocephalus theobaldi"
101640,"Gloydius himalayanus"
101641,"Hemidactylus brookii"
101641,"Sibynophis collaris"
101641,"Laudakia tuberculata"
101641,"Ablepharus ladacensis"
101641,"Phrynocephalus theobaldi"
101641,"Gloydius himalayanus"
101617,"Ptyas mucosa"
101617,"Boiga trigonata"
101617,"Amphiesma stolatum"
101617,"Hemidactylus brookii"
101617,"Daboia russelii"
101617,"Fowlea sanctijohannis"
101617,"Ovophis monticola"
101617,"Crocodylus palustris"
