species,total_area,protected_area,coverage_percent,taxon
Amolops formosus,121638.22751334,37350.98570942,30.706617872513583,amphibian
Amolops jaunsari,15073.32175692,3144.53070786,20.8615642827128,amphibian
Amolops mahabharatensis,500,200,40,amphibian
Amolops monticola,21040.42437435,5267.38831916,25.034610640179753,amphibian
Amolops nepalicus,100,0,0,amphibian
Duttaphrynus himalayanus,116655.28862818,34341.10039087,29.438099887889987,amphibian
Duttaphrynus melanostictus,12786.38424905,656.38025361,5.133431319012391,amphibian
Euphlyctis adolfi,108256.18575197,20890.36292141,19.297154039098267,amphibian
Euphlyctis cyanophlyctis,18052.76986364,2369.14458009,13.12344087907354,amphibian
Fejervarya limnocharis,52126.14002204,6143.1013866,11.785068650781684,amphibian
Firouzophrynus stomaticus,57224.24412713,8000.675187,13.981268444936754,amphibian
Hoplobatrachus crassus,35284.30047055,5900.675187,16.723231319053617,amphibian
Hoplobatrachus tigerinus,51083.66391269,8000.675187,15.661905537305254,amphibian
Humerana humeralis,25434.80285924,3495.69580033,13.743750323820882,amphibian
Hylarana chitwanensis,27610.93573228,3695.69580033,13.384898781280183,amphibian
Hylarana leptoglossa,1594.6938352500001,0,0,amphibian
Hylarana tytleri,18119.78464434,3580.67758543,19.76114868753962,amphibian
Ichthyophis sikkimensis,1094.6938352500001,100,9.134974253067073,amphibian
Megophrys monticola,3688.98960015,0,0,amphibian
Megophrys parva,27580.01635674,3700,13.415510535387316,amphibian
Megophrys robusta,3088.98960015,300,9.711913565051566,amphibian
Megophrys zhangi,90305.70602949,29270.18017974,32.41232638188068,amphibian
Microhyla nilphamariensis,98681.34359262,18368.92726001,18.614387067773713,amphibian
Microhyla taraiensis,100,0,0,amphibian
Minervarya nepalensis,35195.11268696,3695.69580033,10.500593742094418,amphibian
Minervarya pierrei,53159.52061194,8000.675187,15.05031477880369,amphibian
Minervarya syhadrensis,31184.30047055,4700.675187,15.073851637105822,amphibian
Minervarya teraiensis,43496.70295639,8000.675187,18.393750889628382,amphibian
Nanorana annandalii,11740.36830765,2262.02608771,19.267079434263305,amphibian
Nanorana blanfordii,97193.94376456,24176.16311535,24.874145629807643,amphibian
Nanorana ercepeae,42696.63119199,6268.2520730100005,14.680905490702836,amphibian
Nanorana gammii,55.02842902,0,0,amphibian
Nanorana liebigii,94904.80115742,32988.84308322,34.75993066831352,amphibian
Nanorana minica,33177.48697533,6215.50437303,18.73410236782461,amphibian
Nanorana parkeri,33515.57369327,16493.49363457,49.211431633294495,amphibian
Nanorana polunini,125945.38137035,37390.44913556,29.687828746662113,amphibian
Nanorana rarica,1000,400,40,amphibian
Nanorana rostandi,84965.36583053,22053.64469561,25.95604041721859,amphibian
Nasutixalus jerdonii,149.72226427,0,0,amphibian
Ombrana sikimensis,51212.05356161,15094.67178854,29.474841836562064,amphibian
Polypedates maculatus,38286.07436538,7513.45948168,19.624523031470705,amphibian
Polypedates taeniatus,58863.73356223,8100.675187,13.761742072367985,amphibian
Polypedates teraiensis,6482.81897823,0,0,amphibian
Polypedates zed,200,100,50,amphibian
Raorchestes annandalii,18334.61443443,2994.93516847,16.334868557944173,amphibian
Scutiger boulengeri,85331.30178734,30762.33126315,36.050465208904136,amphibian
Scutiger nepalensis,19700,5700,28.934010152284262,amphibian
Scutiger nyingchiensis,48596.19140327,12415.50437303,25.54830741775902,amphibian
Scutiger sikimmensis,101307.56212061,26663.03863138,26.318902630029505,amphibian
Sphaerotheca breviceps,10583.66391269,1300.675187,12.289460414936904,amphibian
Sphaerotheca maskeyi,21543.06424886,3196.38015149,14.83716575583784,amphibian
Tylototriton himalayanus,821.32867599,0,0,amphibian
Uperodon globulosus,12764.64939199,3319.99760157,26.00931290485225,amphibian
Uperodon systoma,38684.30047055,7700.675187,19.906461001828,amphibian
Uperodon taprobanicus,19857.25543138,3111.97775055,15.671741552119071,amphibian
Zhangixalus smaragdinus,46822.90427583,8867.60181539,18.93859843283463,amphibian
Abroscopus_albogularis,14449.31033419,0,0,aves
Abroscopus_schisticeps,103810.85510202,31708.95168716,30.544928712896223,aves
Abroscopus_superciliaris,10521.32867599,200,1.9009006006665892,aves
Acanthoptila_nipalensis,28339.26733588,4200,14.82042549026111,aves
Accipiter_badius,86249.62461625,11400.675187,13.218231659239057,aves
Accipiter_gentilis,86866.51872131,33224.93563231,38.248264258067124,aves
Accipiter_nisus,113115.41935518,26038.94021079,23.019797264799315,aves
Accipiter_trivirgatus,78944.67288544,12856.75063583,16.285773524563186,aves
Accipiter_virgatus,110859.96225045,30227.07403473,27.26599704809777,aves
Aceros_nipalensis,7501.57719118,2012.78429468,26.83148147894201,aves
Acridotheres_fuscus,59107.42321005,7900.675187,13.36663782300808,aves
Acridotheres_ginginianus,16792.84993582,1106.83086518,6.591084118599035,aves
Acridotheres_tristis,118398.28447086,27452.53282022,23.186596784665888,aves
Acrocephalus_agricola,14427.82208035,1844.00009315,12.780862439809535,aves
Acrocephalus_bistrigiceps,3731.06530174,499.31564884,13.382656385219036,aves
Acrocephalus_concinens,5293.65003688,300,5.667167226959635,aves
Acrocephalus_dumetorum,27807.63703464,5224.01175109,18.786248340995115,aves
Acrocephalus_stentoreus,9599.36373981,696.67152564,7.257476063239471,aves
Actinodura_egertoni,42216.08800339,6194.7593274,14.673930296200238,aves
Actitis_hypoleucos,217.7546254,0,0,aves
Aegithalos_iouschistos,14937.12365008,8405.3548624,56.271575835518924,aves
Aegithalos_iredalei,87626.3915648,19608.61091559,22.377517281525133,aves
Aegithalos_niveogularis,47254.99339343,14325.56578651,30.315454003431785,aves
Aegithina_tiphia,57274.47650126,8700.675187,15.191191117754856,aves
Aegypius_monachus,144483.34608695,41225.61081931,28.53312297633282,aves
Aerodramus_brevirostris,113780.80547206,34405.3021164,30.23823040596119,aves
Aethopyga_gouldiae,79834.17964547,32924.93563231,41.241653360157315,aves
Aethopyga_ignicauda,82602.46446203,23072.58940916,27.93208357574587,aves
Aethopyga_nipalensis,70358.43132096,12544.31775041,17.82916064911329,aves
Aethopyga_saturata,50225.1974107,4300,8.561439718868932,aves
Aethopyga_siparaja,133451.44319324,37668.51759345,28.226384587617638,aves
Agraphospiza_rubescens,33336.32607114,17068.25463226,51.20016703651206,aves
Alauda_gulgula,140758.60581679,40830.75770468,29.00764572634721,aves
Alaudala_raytal,20439.51341861,1740.29370131,8.51435973874739,aves
Alcedo_atthis,134739.21538392,38109.41727824,28.283834939703855,aves
Alcedo_hercules,5829.0941218,399.31564884,6.850389451537849,aves
Alcedo_meninting,28289.28214315,3780.67758543,13.364346137519284,aves
Alcippe_nipalensis,68870.15326586,9357.5738004,13.587270184047481,aves
Alcurus_striatus,20239.67926596,2000,9.881579513780585,aves
Alectoris_chukar,88318.45794182,32912.15133763,37.265314753696174,aves
Alexandrinus_krameri,37078.9943058,7700.675187,20.768295718838953,aves
Alophoixus_flaveolus,10878.91748459,2695.68479898,24.778980103474822,aves
Amandava_amandava,34384.30047055,7300.675187,21.232583147221494,aves
Amaurornis_phoenicurus,59980.70683219,8500.675187,14.172349136835983,aves
Anas_acuta,98269.94839171,16268.54245895,16.554951666508053,aves
Anas_crecca,143873.23008141,40714.05085501,28.298558968872904,aves
Anas_platyrhynchos,60108.55859842,16501.35953816,27.452595641835522,aves
Anas_poecilorhyncha,12317.53120009,3401.35953816,27.613971362501175,aves
Anastomus_oscitans,33483.66391269,6100.675187,18.219855517925865,aves
Anhinga_melanogaster,37884.30047055,8000.675187,21.11870903679338,aves
Anser_anser,110566.03163479,22264.62570203,20.136949271700512,aves
Anser_indicus,5996.04708337,99.31564884,1.6563520509278744,aves
Anthipes_monileger,40621.32867599,4900,12.062628573979259,aves
Anthracoceros_albirostris,46784.30047055,7600.675187,16.246208900322255,aves
Anthropoides_virgo,144483.34608695,41225.61081931,28.53312297633282,aves
Anthus_campestris,40893.91033843,7581.73934767,18.540020469857268,aves
Anthus_godlewskii,52008.87630089,13643.4142255,26.23285715032172,aves
Anthus_hodgsoni,144483.34608695,41225.61081931,28.53312297633282,aves
Anthus_richardi,144383.34608695,41225.61081931,28.55288503598141,aves
Anthus_roseatus,104699.0456164,33324.93563231,31.829263997693978,aves
Anthus_rubescens,110107.96965326,26165.91636528,23.763871450612385,aves
Anthus_rufulus,105991.46486116,19734.32833567,18.618790070993292,aves
Anthus_similis,82049.92456863,11316.17956003,13.791822015100907,aves
Anthus_sylvanus,39020.51984118,6570.40011613,16.83832030652749,aves
Anthus_trivialis,53234.00838741,7800.675187,14.653555919048324,aves
Apus_apus,18970.00248724,4161.7417461000005,21.938540856277477,aves
Apus_nipalensis,101362.27509665,22635.37752126,22.3311656133181,aves
Apus_pacificus,111310.49392186,29861.76115912,26.827444661311958,aves
Aquila_chrysaetos,104175.70905231,34301.59906822,32.92667684267553,aves
Aquila_fasciata,64677.80471608,11346.1133444,17.542514614104032,aves
Aquila_heliaca,144483.34608695,41225.61081931,28.53312297633282,aves
